,primaryTitle,startYear
0,Na Boca da Noite,2016
2,The Other Side of the Wind,2018
3,Chief Zabu,2016
4,The Wandering Soap Opera,2017
5,Bigfoot,2017
7,Joe Finds Grace,2017
8,Nema aviona za Zagreb,2012
11,Cooper and Hemingway: The True Gen,2013
15,T.G.M. - osvoboditel,2018
16,The Tragedy of Man,2011
17,How Huang Fei-hong Rescued the Orphan from the Tiger's Den,2011
18,Bande de cons!,2018
21,Summer of the Moonlight Sonata,2015
22,Os Monstros de Babaloo,2016
28,Los pájaros se van con la muerte,2011
29,Foodfight!,2012
30,Return to Babylon,2013
31,In Memoriam Alfons Vranckx,2018
36,To Chase a Million,2018
37,Short Time Heroes,2015
38,Life's a Beach,2012
39,Dark Blood,2012
40,Neeyum Naanum,2018
41,Snowblind,2015
46,Second Coming,2012
48,Lives No Longer Ours,2011
51,Wazir,2016
52,The Wicker Tree,2011
55,Rice Girl,2014
56,Regret Not Speaking,2011
57,"Tiden är en dröm, del 2",2014
59,Bunyan and Babe,2017
60,On the Road,2012
62,Chatô - The King of Brazil,2015
63,The Evil Within,2017
65,Transeúntes,2015
66,The Secret Life of Walter Mitty,2013
67,Fahrenheit 451,2018
69,Aman Ke Farishtey,2016
70,Nappily Ever After,2018
71,A Walk Among the Tombstones,2014
72,Boy with a Movie Camera,2017
73,The Promise of Perfume,2017
74,Jurassic World,2015
76,Spy,2011
78,The Rum Diary,2011
79,American Pastoral,2016
80,Gnomeo & Juliet,2011
83,Cloud Cuckoo Land,2012
84,The Three Stooges,2012
86,Motherless Brooklyn,2019
94,The Connecticut Kid,2011
95,John Carter,2012
98,Action Jackson,2014
99,Gambit,2012
100,Bubbles,2011
102,Seven Fallen Objects,2011
103,In Secret,2013
104,Cowboys & Aliens,2011
111,The Stanford Prison Experiment,2015
115,The Ninth Cloud,2014
116,El borde del tiempo,2011
118,Pots and Pans,2012
120,Masters of the Universe,2019
122,The Rescuer,2011
123,The Possession,2012
125,The Queen of Sheba Meets the Atom Man,2018
127,Real Steel,2011
128,Satin,2011
129,Caleuche: El llamado del Mar,2012
130,L'apocalisse delle scimmie,2012
131,The Giver,2014
134,Alita: Battle Angel,2018
136,Untitled The Flash Film,2020
137,Moving Target,2011
139,Stolen Memories,2012
141,Danger Close,2019
142,Lincoln,2012
144,Before We Go,2014
145,The History of Love,2016
151,Surviving in L.A.,2018
152,A Bird of the Air,2011
153,Shazam!,2019
155,Puss in Boots,2011
158,The Passing,2011
159,Clawed,2017
160,Wonder Woman,2017
161,Blunt Movie,2013
162,Party Crashers,2012
163,42,2013
165,Life of Pi,2012
166,Being Flynn,2012
168,The Equalizer,2014
170,Captain America: The First Avenger,2011
171,A Long Way Down,2014
172,Sin City: A Dame to Kill For,2014
173,Generation P,2011
176,The Grasslands,2011
177,The Only Living Boy in New York,2017
178,Texxas Jam '78,2012
180,Saving Private Perez,2011
181,Steve Phoenix: The Untold Story,2012
182,High-Rise,2015
184,Silent Alarm,2011
186,The Devil You Know,2013
188,House at the End of the Drive,2014
191,Act Your Age,2011
197,Margaret,2011
198,Alan Partridge,2013
200,Smoking/Non-Smoking,2011
201,Platinum Illusions,2011
202,Ex Machina,2014
203,"Hot Country, Cold Winter",2016
204,Tower Heist,2011
205,The Smurfs,2011
206,The Mechanic,2011
208,Escape from Heaven,2018
210,Stan,2011
211,Bamboo Shark,2011
213,Clutch,2012
214,"Hail, Caesar!",2016
215,Persona Au Gratin,2012
221,Extremely Loud & Incredibly Close,2011
222,The Tree of Life,2011
224,Ant-Man,2015
227,Abhishapt,2011
228,Season of the Witch,2011
229,Atlas Shrugged: Part I,2011
231,Hall Pass,2011
232,Felix Austria!,2013
233,The Croods,2013
237,Monkey Man,2011
239,Gente mala del norte,2011
240,La daga de Rasputín,2011
241,U Want Me 2 Kill Him?,2013
242,Sushi in Suhl,2012
243,Red Tails,2012
244,Making Change,2012
247,Aftermath,2013
249,Silence,2016
251,Double Tap,2011
252,Something Borrowed,2011
253,Suburbicon,2017
254,Tulip Fever,2017
256,Nina,2016
258,CHIPS,2017
261,Bad Blood,2012
263,Prisoners of the Sun,2013
266,The Hero of Color City,2014
267,Rings,2017
278,Syrup,2013
279,A Thousand Words,2012
280,Escape from Planet Earth,2013
281,Have You Seen Me?,2016
282,Horrorween,2011
287,Night of the Templar,2013
288,What's Your Number?,2011
289,California Indian,2011
291,Samsara,2011
292,Till You Get to Baraboo,2011
293,Man of Steel,2013
294,Jersey Justice,2014
295,Kill,2011
297,Cell,2016
301,Drive,2011
303,Kid Cannabis,2014
304,Santorini Blue,2013
305,War of the Dead,2011
307,Escalade,2011
309,The Last Full Measure,2018
311,The Attack,2012
312,The Boxtrolls,2014
313,The Man Who Knew Infinity,2015
314,The Incredible Burt Wonderstone,2013
315,Dallas Buyers Club,2013
316,Elliot Loves,2012
318,Jack Reacher,2012
319,R.I.P.D.,2013
320,Miles Ahead,2015
321,The Yellow Wallpaper,2012
323,Wilde Salomé,2011
324,Scary Movie 5,2013
333,Thor,2011
334,Red Dog,2011
335,Warcraft,2016
336,Devil's Knot,2013
339,The Mule,2013
340,Spoon,2011
342,The Last Pogo Jumps Again,2013
344,Belle du Seigneur,2012
346,The Danish Girl,2015
347,Eyes of the Mothman,2011
348,Jack and Jill,2011
349,Take Me Home Tonight,2011
351,Lavoe,2011
352,The Do-Deca-Pentathlon,2012
353,Meridian Lines,2013
356,Art Officially Favored,2019
360,The Book Thief,2013
361,Conan the Barbarian,2011
362,Shanghai Hotel,2011
363,Interstellar,2014
364,World War Z,2013
367,The Power of Few,2013
370,Manhattan Minutiae,2016
371,Priest,2011
372,The Long Falling,2011
373,Maximum Ride,2016
374,Caravaggio and My Mother the Pope,2018
377,Wild in the Streets,2012
378,Dracula Untold,2014
379,Gallowwalkers,2012
382,Godzilla,2014
384,The Babymakers,2012
385,Electric Slide,2014
386,Krystal,2017
387,Pee-wee's Big Holiday,2016
388,Approaching Midnight,2013
389,Hotel Transylvania,2012
390,Pet Sematary,2019
391,Retreat!,2016
392,Bhopal: A Prayer for Rain,2014
397,Whatever Happened to Pete Blaggit?,2012
399,The Fallen Word,2013
400,Ivan Mosjoukine ou L'enfant du carnaval,2016
402,Pox,2011
403,Hoodwinked Too! Hood vs. Evil,2011
405,Loot,2011
407,Night Traveler,2013
409,The Speed of Thought,2011
410,The Avengers,2012
411,Epic,2013
412,The Sighting,2016
413,Duel of Legends,2018
415,Jack & Diane,2012
416,Jackson Arms,2015
418,Sir Billi,2012
419,Folie à deux,2012
421,Naked Run,2011
423,This Is What Love in Action Looks Like,2011
424,Great American Dream,2013
426,The Sweeney,2012
428,Immortal Island,2011
431,Super Troopers 2,2018
432,Evangelion: 3.0 You Can (Not) Redo,2012
434,Lupin the 3rd,2014
435,Dukun,2018
436,Mr. Peabody & Sherman,2014
437,Letting Go,2012
438,6 Month Rule,2011
439,Catharsis,2011
440,Jungle Cruise,2019
442,The Nightclub Days,2012
445,Red State,2011
446,The Dot Man,2017
449,Rain Falls from Earth: Surviving Cambodia's Darkest Hour,2011
450,Rift,2011
452,Chûshingura,2016
455,Jewtopia,2012
460,Mama I Want to Sing,2011
461,Sanctum,2011
463,Snitch,2013
466,Drain Baby,2011
467,Legends of Oz: Dorothy's Return,2013
468,The Wedding Ringer,2015
470,Hyenas,2011
472,Rollerboy,2013
475,RxCannabis: A Freedom Tale,2018
476,Hamlet A.D.D.,2014
477,Gun of the Black Sun,2011
481,Blur,2011
482,From Prada to Nada,2011
486,The Key Man,2011
487,Suite Française,2014
495,The Hobbit: An Unexpected Journey,2012
496,Love & Mercy,2014
498,The Thing,2011
499,The Grind,2012
500,The Unlikely's,2016
502,Black Butterflies,2011
506,Exposed,2012
507,A Merry Friggin' Christmas,2014
515,Gangster Kittens,2016
516,Periphery,2011
518,The Legend of Tarzan,2016
520,I Am Not a Bird,2018
526,Road to Red,2016
527,White Men Can't Dance,2012
531,Deep Gold 3D,2011
533,The Man in the Silo,2016
534,Jun-09,2018
539,Joe Dick,2017
542,Freaky Deaky,2012
543,Silent Hill: Revelation,2012
549,Source Code,2011
553,The Amazing Spider-Man,2012
554,Coffee Sex You,2014
558,Reach Me,2014
562,Let Me Survive,2013
566,Avenge,2014
567,A Monster in Paris,2011
568,Devour,2011
569,The Trouble with Cali,2012
581,Little Witch on a Broomstick,2011
582,Strange Frame: Love & Sax,2012
584,Hugo,2011
592,Back Roads,2018
595,Lives and Deaths of the Poets,2011
597,Justice League,2017
599,Hitchcock,2012
603,Chooriyan,2015
606,Sucker Punch,2011
611,Four,2012
613,Funkytown,2011
614,The Unwanted,2013
615,The Adventures of Tintin,2011
616,You're Nobody 'til Somebody Kills You,2012
617,El Padrino II: Border Intrusion,2011
622,The Magic Crystal,2011
627,The Green Hornet,2011
628,The Significant Other,2012
631,Hanna,2011
632,The Wolf of Wall Street,2013
634,The Courier,2012
635,The Unforgiven,2011
636,Pelé: Birth of a Legend,2016
637,The Extendables,2014
638,Legend of the Red Reaper,2013
639,The Slimbones,2014
643,Two Knives,2011
644,Straw Dogs,2011
647,The Young Messiah,2016
648,If You Only Knew,2011
651,The Iron Lady,2011
652,Colombian Interviews,2011
655,Return of the Atom,2015
660,Child 44,2015
661,Bad Dog and Superhero,2014
663,Felony Murder,2019
665,The Sisterhood of Night,2014
672,Heart Like a Hand Grenade,2015
673,Our Brand Is Crisis,2015
676,Selma,2014
679,The Method,2017
683,Odd Brodsky,2014
685,Deer Season,2015
688,Where's My Stuff?,2011
690,Programming the Nation?,2011
691,Argo,2012
692,Session,2011
694,The People I've Slept With,2012
695,Gunned Down,2017
696,Palominas,2018
697,Gemini Man,2019
698,The Pardon,2013
702,Tied in Blood,2012
703,Asylum Blackout,2011
704,The Magnificent Eleven,2013
706,Krrish 3,2013
707,Poltergeist,2015
708,Tied to a Chair,2011
711,Beautiful Girl,2014
713,Inseparable,2011
714,The Descendants,2011
716,Bad Meat,2011
717,Somewhere Tonight,2011
718,Iron Sky,2012
719,Cold Skin,2017
720,The Eagle,2011
721,Suspiria,2018
724,Cody the Robosapien,2013
725,Everyday,2012
733,The Story of Luke,2012
735,Manipulation,2011
740,The Legend of Hercules,2014
744,Silver Linings Playbook,2012
745,Wasteland,2011
746,You and I,2011
749,Unfinished Song,2012
752,Caris' Peace,2011
753,Parental Guidance,2012
757,"Girl, Adopted",2013
759,Pablo,2012
760,Chasing Happiness,2012
764,"Havana, Habana",2017
768,Goosebumps,2015
771,The Big Year,2011
772,Dreams Awake,2011
781,Sophomore,2012
784,Transit,2012
785,The Legend of Awesomest Maximus,2011
787,Até Onde?,2011
788,The Rogue,2019
789,This Bitter Earth,2012
795,Boyhood,2014
796,Costa Rica 3D,2019
797,The Ascension,2011
801,Water for Elephants,2011
802,Adult World,2013
803,Game of Assassins,2013
804,Monte Carlo,2011
805,Footloose,2011
807,Sunburnt Angels,2011
808,House of Good and Evil,2013
809,Midnight Son,2011
817,The Amazing Adventures of the Living Corpse,2012
819,Ghost Rider: Spirit of Vengeance,2011
822,Winchester,2018
824,Buffalo Girls,2012
826,The Reverend,2011
831,Skyfall,2012
834,The Dark Party,2013
837,Dark Shadows,2012
842,Hauntsville,2016
844,The Girl from the Naked Eye,2012
845,Beautiful Noise,2014
